dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.408693,2.575828,3.135000,3.000000,0.000000,0.000000,0.414331
0.010000,1.436216,2.587765,3.165000,3.000000,0.000000,0.000000,0.404114
0.010000,1.463858,2.599422,3.195000,3.000000,0.000000,0.000000,0.394101
0.010000,1.491614,2.610805,3.225000,3.000000,0.000000,0.000000,0.384289
0.010000,1.519480,2.621918,3.255000,3.000000,0.000000,0.000000,0.374678
0.010000,1.547450,2.632765,3.285000,3.000000,0.000000,0.000000,0.365267
0.010000,1.575520,2.643351,3.315000,3.000000,0.000000,0.000000,0.356052
0.010000,1.603686,2.653681,3.345000,3.000000,0.000000,0.000000,0.347033
0.010000,1.631942,2.663759,3.375000,3.000000,0.000000,0.000000,0.338208
0.010000,1.660285,2.673590,3.405000,3.000000,0.000000,0.000000,0.329574
0.010000,1.688712,2.683179,3.435000,3.000000,0.000000,0.000000,0.321128
0.010000,1.717217,2.692530,3.465000,3.000000,0.000000,0.000000,0.312869
0.010000,1.745798,2.701648,3.495000,3.000000,0.000000,0.000000,0.304794
0.010000,1.774450,2.710537,3.525000,3.000000,0.000000,0.000000,0.296901
0.010000,1.803172,2.719203,3.555000,3.000000,0.000000,0.000000,0.289186
0.010000,1.831958,2.727649,3.585000,3.000000,0.000000,0.000000,0.281647
0.010000,1.860806,2.735881,3.615000,3.000000,0.000000,0.000000,0.274281
0.010000,1.889714,2.743902,3.645000,3.000000,0.000000,0.000000,0.267085
0.010000,1.918678,2.751718,3.675000,3.000000,0.000000,0.000000,0.260058
0.010000,1.947696,2.759332,3.705000,3.000000,0.000000,0.000000,0.253195
0.010000,1.976764,2.766749,3.735000,3.000000,0.000000,0.000000,0.246494
0.010000,2.005881,2.773973,3.765000,3.000000,0.000000,0.000000,0.239952
0.010000,2.035045,2.781010,3.795000,3.000000,0.000000,0.000000,0.233568
0.010000,2.064251,2.787862,3.825000,3.000000,0.000000,0.000000,0.227336
0.010000,2.093500,2.794534,3.855000,3.000000,0.000000,0.000000,0.221256
0.010000,2.122788,2.801030,3.885000,3.000000,0.000000,0.000000,0.215324
0.010000,2.152114,2.807355,3.915000,3.000000,0.000000,0.000000,0.209538
0.010000,2.181475,2.813512,3.945000,3.000000,0.000000,0.000000,0.203895
0.010000,2.210870,2.819506,3.975000,3.000000,0.000000,0.000000,0.198392
0.010000,2.240298,2.825339,4.005000,3.000000,0.000000,0.000000,0.193027
0.010000,2.269755,2.831017,4.035000,3.000000,0.000000,0.000000,0.187797
